data_type,approx_type,run_id,seed,final_loss,converged_epoch,param_0,param_1,param_mean,param_std
heaviside,hill,0,1000,0.22297483682632446,590,5.2969294,5.570755,5.433842,0.13691282
heaviside,hill,1,1001,0.2056311070919037,1802,5.97939,7.5139375,6.746664,0.76727366
heaviside,hill,2,1002,0.22216813266277313,657,5.424473,5.5951366,5.5098047,0.08533192
heaviside,hill,3,1003,0.22308623790740967,549,5.3613157,5.4807253,5.4210205,0.05970478
heaviside,hill,4,1004,0.2181629091501236,1335,6.059726,7.00296,6.5313435,0.47161698
heaviside,hill,5,1005,0.21376702189445496,2403,5.8331213,9.050003,7.441562,1.6084409
heaviside,hill,6,1006,0.22023630142211914,883,5.8240147,6.1166716,5.970343,0.14632845
heaviside,hill,7,1007,0.2221238762140274,693,5.5389833,5.647546,5.5932646,0.054281235
heaviside,hill,8,1008,0.21507063508033752,1260,5.975401,6.1364837,6.0559425,0.08054137
heaviside,hill,9,1009,0.22052235901355743,884,5.7326937,6.180581,5.9566374,0.22394371
heaviside,hill,10,1010,0.22097529470920563,809,5.7018476,5.8795223,5.7906847,0.088837385
heaviside,hill,11,1011,0.21963565051555634,861,5.619625,6.3459315,5.9827785,0.36315322
heaviside,hill,12,1012,0.1853322684764862,1352,4.918864,5.649302,5.284083,0.36521912
heaviside,hill,13,1013,0.2153339684009552,1380,5.7722325,6.6667805,6.2195063,0.44727397
heaviside,hill,14,1014,0.2117026150226593,836,4.3616314,4.808256,4.584944,0.22331238
heaviside,hill,15,1015,0.21658958494663239,1289,5.9555836,6.90969,6.4326367,0.47705317
heaviside,hill,16,1016,0.22159849107265472,675,5.526772,5.6789145,5.6028433,0.07607126
heaviside,hill,17,1017,0.22143961489200592,774,5.685223,5.6513653,5.668294,0.016928911
heaviside,hill,18,1018,0.20529316365718842,1893,6.019058,7.84822,6.933639,0.9145808
heaviside,hill,19,1019,0.21989960968494415,856,5.67185,6.350558,6.011204,0.3393538
heaviside,piecewise,0,1000,0.21707332134246826,622,0.2875118,0.15008451,0.21879816,0.06871364
heaviside,piecewise,1,1001,0.21670731902122498,638,0.29012454,0.13903493,0.21457973,0.075544804
heaviside,piecewise,2,1002,0.13851617276668549,1213,0.35281217,0.12652045,0.23966631,0.11314586
heaviside,piecewise,3,1003,0.21763667464256287,582,0.29279122,0.15662052,0.22470587,0.06808535
heaviside,piecewise,4,1004,0.1389721930027008,1537,0.47094157,0.110905945,0.29092377,0.18001781
heaviside,piecewise,5,1005,0.19994835555553436,2194,0.29753903,0.056361716,0.17695037,0.12058865
heaviside,piecewise,6,1006,0.2049354612827301,1431,0.24951342,0.08300712,0.16626027,0.08325315
heaviside,piecewise,7,1007,0.21686995029449463,647,0.28927243,0.15552719,0.2223998,0.06687262
heaviside,piecewise,8,1008,0.21056029200553894,1374,0.30465823,0.08584018,0.1952492,0.10940903
heaviside,piecewise,9,1009,0.21629779040813446,732,0.29001847,0.13031413,0.2101663,0.07985217
heaviside,piecewise,10,1010,0.15899141132831573,1267,0.35077846,0.10958437,0.23018141,0.12059705
heaviside,piecewise,11,1011,0.22512643039226532,711,0.15716586,0.17794946,0.16755766,0.010391802
heaviside,piecewise,12,1012,0.22793737053871155,530,0.1863524,0.19179665,0.18907452,0.0027221218
heaviside,piecewise,13,1013,0.20031008124351501,1457,0.3597908,0.09037797,0.2250844,0.13470641
heaviside,piecewise,14,1014,0.1669122576713562,2932,0.3460312,0.051582966,0.19880708,0.14722411
heaviside,piecewise,15,1015,0.20689144730567932,2169,0.30465403,0.057079658,0.18086684,0.12378719
heaviside,piecewise,16,1016,0.20575715601444244,2251,0.30634865,0.056354705,0.18135168,0.124996975
heaviside,piecewise,17,1017,0.14092949032783508,1121,0.3368763,0.12244108,0.2296587,0.10721761
heaviside,piecewise,18,1018,0.18868941068649292,1550,0.2317986,0.08112714,0.15646288,0.07533573
heaviside,piecewise,19,1019,0.21781381964683533,576,0.291717,0.16223608,0.22697654,0.06474046
hill,hill,0,1000,0.22230130434036255,605,5.323429,5.6083913,5.46591,0.14248109
hill,hill,1,1001,0.19409699738025665,1778,6.0526156,7.2171135,6.634865,0.5822489
hill,hill,2,1002,0.22187556326389313,671,5.4489946,5.6252327,5.5371137,0.08811903
hill,hill,3,1003,0.223655104637146,566,5.396353,5.52054,5.4584465,0.062093735
hill,hill,4,1004,0.22395052015781403,599,5.2791286,5.441714,5.360421,0.08129263
hill,hill,5,1005,0.21649092435836792,2493,5.8580174,8.987746,7.422882,1.5648644
hill,hill,6,1006,0.18931138515472412,1446,4.8440084,5.239902,5.041955,0.19794679
hill,hill,7,1007,0.20758910477161407,1970,6.057688,7.8638544,6.9607716,0.9030831
hill,hill,8,1008,0.2219475954771042,679,5.6059623,5.695652,5.6508074,0.044844866
hill,hill,9,1009,0.22070136666297913,809,5.63647,6.0052514,5.820861,0.18439078
hill,hill,10,1010,0.22265930473804474,665,5.4720573,5.5562434,5.5141506,0.04209304
hill,hill,11,1011,0.22102628648281097,723,5.433926,6.0077686,5.720847,0.28692126
hill,hill,12,1012,0.22233687341213226,609,5.275299,5.6102676,5.4427834,0.16748428
hill,hill,13,1013,0.22207002341747284,687,5.3621407,5.8512397,5.6066904,0.24454951
hill,hill,14,1014,0.18439698219299316,2132,5.6406603,6.4708886,6.0557747,0.41511416
hill,hill,15,1015,0.22047455608844757,901,5.7855744,6.254264,6.0199194,0.23434472
hill,hill,16,1016,0.22167669236660004,724,5.6113396,5.792067,5.701703,0.09036374
hill,hill,17,1017,0.22133328020572662,823,5.767119,5.7581086,5.762614,0.0045051575
hill,hill,18,1018,0.2174675166606903,1504,5.978258,7.6382103,6.808234,0.8299761
hill,hill,19,1019,0.21985025703907013,849,5.663973,6.3338566,5.9989147,0.33494186
hill,piecewise,0,1000,0.2160208523273468,706,0.29191124,0.13937353,0.2156424,0.07626886
hill,piecewise,1,1001,0.2162409871816635,644,0.29039514,0.13814779,0.21427146,0.07612368
hill,piecewise,2,1002,0.20824790000915527,1494,0.31428108,0.09013939,0.20221023,0.11207084
hill,piecewise,3,1003,0.20659740269184113,2745,0.332638,0.047235798,0.18993689,0.14270109
hill,piecewise,4,1004,0.20657069981098175,2475,0.33044398,0.051143203,0.19079359,0.13965039
hill,piecewise,5,1005,0.20283706486225128,1723,0.30894732,0.07353738,0.19124235,0.11770497
hill,piecewise,6,1006,0.20719872415065765,1863,0.25073838,0.06172738,0.15623288,0.094505504
hill,piecewise,7,1007,0.21656250953674316,649,0.2842196,0.15160628,0.21791294,0.06630666
hill,piecewise,8,1008,0.21707241237163544,566,0.29556417,0.15119584,0.22338,0.07218417
hill,piecewise,9,1009,0.2162223607301712,601,0.2959432,0.1469405,0.22144185,0.07450135
hill,piecewise,10,1010,0.21917690336704254,509,0.2886997,0.16719864,0.22794917,0.06075052
hill,piecewise,11,1011,0.2011401504278183,1277,0.24829428,0.09376169,0.17102799,0.0772663
hill,piecewise,12,1012,0.22701026499271393,590,0.17186208,0.18319492,0.1775285,0.00566642
hill,piecewise,13,1013,0.2190948873758316,550,0.29503444,0.17113642,0.23308542,0.061949007
hill,piecewise,14,1014,0.18295320868492126,900,0.3223794,0.14710246,0.23474094,0.087638475
hill,piecewise,15,1015,0.1692383736371994,2370,0.33485484,0.05735455,0.19610469,0.13875014
hill,piecewise,16,1016,0.20620721578598022,1464,0.3031696,0.08373718,0.1934534,0.109716214
hill,piecewise,17,1017,0.2162221372127533,791,0.29141757,0.13674714,0.21408236,0.077335216
hill,piecewise,18,1018,0.18508274853229523,2027,0.21197169,0.063356645,0.13766417,0.07430752
hill,piecewise,19,1019,0.21623745560646057,706,0.29020512,0.14123146,0.2157183,0.07448683
piecewise,hill,0,1000,0.21969620883464813,920,5.774446,6.3555274,6.0649867,0.2905407
piecewise,hill,1,1001,0.2056311070919037,1802,5.97939,7.5139375,6.746664,0.76727366
piecewise,hill,2,1002,0.22216813266277313,657,5.424473,5.5951366,5.5098047,0.08533192
piecewise,hill,3,1003,0.22308623790740967,549,5.3613157,5.4807253,5.4210205,0.05970478
piecewise,hill,4,1004,0.2181629091501236,1335,6.059726,7.00296,6.5313435,0.47161698
piecewise,hill,5,1005,0.21376702189445496,2403,5.8331213,9.050003,7.441562,1.6084409
piecewise,hill,6,1006,0.22023630142211914,883,5.8240147,6.1166716,5.970343,0.14632845
piecewise,hill,7,1007,0.2221238762140274,693,5.5389833,5.647546,5.5932646,0.054281235
piecewise,hill,8,1008,0.21507063508033752,1260,5.975401,6.1364837,6.0559425,0.08054137
piecewise,hill,9,1009,0.22052235901355743,884,5.7326937,6.180581,5.9566374,0.22394371
piecewise,hill,10,1010,0.22097529470920563,809,5.7018476,5.8795223,5.7906847,0.088837385
piecewise,hill,11,1011,0.21963565051555634,861,5.619625,6.3459315,5.9827785,0.36315322
piecewise,hill,12,1012,0.1853322684764862,1352,4.918864,5.649302,5.284083,0.36521912
piecewise,hill,13,1013,0.2153339684009552,1380,5.7722325,6.6667805,6.2195063,0.44727397
piecewise,hill,14,1014,0.2117026150226593,836,4.3616314,4.808256,4.584944,0.22331238
piecewise,hill,15,1015,0.21658958494663239,1289,5.9555836,6.90969,6.4326367,0.47705317
piecewise,hill,16,1016,0.22159849107265472,675,5.526772,5.6789145,5.6028433,0.07607126
piecewise,hill,17,1017,0.22143961489200592,774,5.685223,5.6513653,5.668294,0.016928911
piecewise,hill,18,1018,0.20529316365718842,1893,6.019058,7.84822,6.933639,0.9145808
piecewise,hill,19,1019,0.21989960968494415,856,5.67185,6.350558,6.011204,0.3393538
piecewise,piecewise,0,1000,0.21707332134246826,622,0.2875118,0.15008451,0.21879816,0.06871364
piecewise,piecewise,1,1001,0.21670731902122498,638,0.29012454,0.13903493,0.21457973,0.075544804
piecewise,piecewise,2,1002,0.13851617276668549,1213,0.35281217,0.12652045,0.23966631,0.11314586
piecewise,piecewise,3,1003,0.21763667464256287,582,0.29279122,0.15662052,0.22470587,0.06808535
piecewise,piecewise,4,1004,0.1389721930027008,1537,0.47094157,0.110905945,0.29092377,0.18001781
piecewise,piecewise,5,1005,0.19994835555553436,2194,0.29753903,0.056361716,0.17695037,0.12058865
piecewise,piecewise,6,1006,0.2049354612827301,1431,0.24951342,0.08300712,0.16626027,0.08325315
piecewise,piecewise,7,1007,0.21686995029449463,647,0.28927243,0.15552719,0.2223998,0.06687262
piecewise,piecewise,8,1008,0.21056029200553894,1374,0.30465823,0.08584018,0.1952492,0.10940903
piecewise,piecewise,9,1009,0.21629779040813446,732,0.29001847,0.13031413,0.2101663,0.07985217
piecewise,piecewise,10,1010,0.15899141132831573,1267,0.35077846,0.10958437,0.23018141,0.12059705
piecewise,piecewise,11,1011,0.22512643039226532,711,0.15716586,0.17794946,0.16755766,0.010391802
piecewise,piecewise,12,1012,0.22793737053871155,530,0.1863524,0.19179665,0.18907452,0.0027221218
piecewise,piecewise,13,1013,0.20031008124351501,1457,0.3597908,0.09037797,0.2250844,0.13470641
piecewise,piecewise,14,1014,0.1669122576713562,2932,0.3460312,0.051582966,0.19880708,0.14722411
piecewise,piecewise,15,1015,0.20689144730567932,2169,0.30465403,0.057079658,0.18086684,0.12378719
piecewise,piecewise,16,1016,0.20575715601444244,2251,0.30634865,0.056354705,0.18135168,0.124996975
piecewise,piecewise,17,1017,0.14092949032783508,1121,0.3368763,0.12244108,0.2296587,0.10721761
piecewise,piecewise,18,1018,0.18868941068649292,1550,0.2317986,0.08112714,0.15646288,0.07533573
piecewise,piecewise,19,1019,0.21781381964683533,576,0.291717,0.16223608,0.22697654,0.06474046
